PhraseID,NL
QID217_Choice14,Bangladesh
QID217_Choice15,Barbados
QID217_Choice16,Wit-Rusland
QID217_Choice17,België
QID217_Choice18,Belize
QID217_Choice19,Benin
QID217_Choice20,Bhutan
QID217_Choice21,Bolivia
QID217_Choice22,Bosnië en Herzegovina
QID217_Choice23,Botswana
QID217_Choice24,Brazilië
QID217_Choice25,Brunei
QID217_Choice26,Bulgarije
QID217_Choice27,Burkina Faso
QID217_Choice28,Burundi
QID217_Choice29,Cambodja
QID217_Choice30,Kameroen
QID217_Choice31,Canada
QID217_Choice32,Kaapverdië
QID217_Choice33,Centraal-Afrikaanse Republiek
QID217_Choice34,Tsjaad
QID217_Choice35,Chili
QID217_Choice36,China
QID217_Choice37,Colombia
QID217_Choice38,Comoren
QID217_Choice39,Republiek Congo
QID217_Choice40,Costa Rica
QID217_Choice41,Ivoorkust
QID217_Choice42,Kroatië
QID217_Choice43,Cuba
QID217_Choice44,Cyprus
QID217_Choice45,Tsjechië
QID217_Choice46,Democratische Volksrepubliek Korea
QID217_Choice47,Democratische Republiek Congo
QID217_Choice48,Denemarken
QID217_Choice49,Djibouti
QID217_Choice50,Dominica
QID217_Choice51,Dominicaanse Republiek
QID217_Choice52,Ecuador
QID217_Choice53,Egypte
QID217_Choice54,El Salvador
QID217_Choice55,Equatoriaal-Guinea
QID217_Choice56,Eritrea
QID217_Choice57,Estland
QID217_Choice58,Ethiopië
QID217_Choice59,Fiji
QID217_Choice60,Finland
QID217_Choice61,Frankrijk
QID217_Choice62,Gabon
QID217_Choice63,Gambia
QID217_Choice64,Georgië
QID217_Choice65,Duitsland
QID217_Choice66,Ghana
QID217_Choice67,Griekenland
QID217_Choice68,Grenada
QID217_Choice69,Guatemala
QID217_Choice70,Guinee
QID217_Choice71,Guinee-Bissau
QID217_Choice72,Guyana
QID217_Choice73,Haïti
QID217_Choice74,Honduras
QID217_Choice75,Hong Kong (S.A.R.)
QID217_Choice76,Hongarije
QID217_Choice77,IJsland
QID217_Choice78,India
QID217_Choice79,Indonesië
QID217_Choice80,"Iran, Islamitische Republiek ..."
QID217_Choice81,Irak
QID217_Choice82,Ierland
QID217_Choice83,Israël
QID217_Choice84,Italië
QID217_Choice85,Jamaica
QID217_Choice86,Japan
QID217_Choice87,Jordanië
QID217_Choice88,Kazachstan
QID217_Choice89,Kenia
QID217_Choice90,Kiribati
QID217_Choice91,Koeweit
QID217_Choice92,Kirgizië
QID217_Choice93,"Laos, Democratische Volksrepubliek"
QID217_Choice94,Letland
QID217_Choice95,Libanon
QID217_Choice96,Lesotho
QID217_Choice97,Liberia
QID217_Choice98,Libië
QID217_Choice99,Liechtenstein
QID217_Choice100,Litouwen
QID217_Choice101,Luxemburg
QID217_Choice102,Madagascar
QID217_Choice103,Malawi
QID217_Choice104,Maleisië
QID217_Choice105,Maldiven
QID217_Choice106,Mali
QID217_Choice107,Malta
QID217_Choice108,Marshalleilanden
QID217_Choice109,Mauritanië
QID217_Choice110,Mauritius
QID217_Choice111,Mexico
QID217_Choice112,"Micronesia, Federale Staten van ..."
QID217_Choice113,Monaco
QID217_Choice114,Mongolië
QID217_Choice115,Montenegro
QID217_Choice116,Marokko
QID217_Choice117,Mozambique
QID217_Choice118,Myanmar
QID217_Choice119,Namibië
QID217_Choice120,Nauru
QID217_Choice121,Nepal
QID217_Choice122,Nederland
QID217_Choice123,Nieuw-Zeeland
QID217_Choice124,Nicaragua
QID217_Choice125,Niger
QID217_Choice126,Nigeria
QID217_Choice127,Noord-Korea
QID217_Choice128,Noorwegen
QID217_Choice129,Oman
QID217_Choice130,Pakistan
QID217_Choice131,Palau
QID217_Choice132,Panama
QID217_Choice133,Papoea-Nieuw-Guinea
QID217_Choice134,Paraguay
QID217_Choice135,Peru
QID217_Choice136,Filippijnen
QID217_Choice137,Polen
QID217_Choice138,Portugal
QID217_Choice139,Qatar
QID217_Choice140,Republiek Korea
QID217_Choice141,"Moldavië, Republiek van "
QID217_Choice142,Roemenië
QID217_Choice143,Rusland
QID217_Choice144,Rwanda
QID217_Choice145,Saint Kitts en Nevis
QID217_Choice146,Saint Lucia
QID217_Choice147,Saint Vincent en de Grenadines
QID217_Choice148,Samoa
QID217_Choice149,San Marino
QID217_Choice150,Sao Tomé en Principe
QID217_Choice151,Saoedi-Arabië
QID217_Choice152,Senegal
QID217_Choice153,Servië
QID217_Choice154,Seychellen
QID217_Choice155,Sierra Leone
QID217_Choice156,Singapore
QID217_Choice157,Slowakije
QID217_Choice158,Slovenië
QID217_Choice159,Salomonseilanden
QID217_Choice160,Somalië
QID217_Choice161,Zuid-Afrika
QID217_Choice162,Zuid-Korea
QID217_Choice163,Spanje
QID217_Choice164,Sri Lanka
QID217_Choice165,Soedan
QID217_Choice166,Suriname
QID217_Choice167,Swaziland
QID217_Choice168,Zweden
QID217_Choice169,Zwitserland
QID217_Choice170,Syrië
QID217_Choice171,Tadzjikistan
QID217_Choice172,Thailand
QID217_Choice173,De voormalige Joegoslavische Republiek Macedonië
QID217_Choice174,Oost-Timor
QID217_Choice175,Togo
QID217_Choice176,Tonga
QID217_Choice177,Trinidad en Tobago
QID217_Choice178,Tunesië
QID217_Choice179,Turkije
QID217_Choice180,Turkmenistan
QID217_Choice181,Tuvalu
QID217_Choice182,Oeganda
QID217_Choice183,Oekraïne
QID217_Choice184,Verenigde Arabische Emiraten
QID217_Choice185,Verenigd Koninkrijk en Noord-Ierland
QID217_Choice186,Verenigde Republiek Tanzania
QID217_Choice187,Verenigde Staten van Amerika
QID217_Choice188,Uruguay
QID217_Choice189,Oezbekistan
QID217_Choice190,Vanuatu
QID217_Choice191,"Venezuela, Bolivariaanse Republiek ..."
QID217_Choice192,Vietnam
QID217_Choice193,Jemen
QID217_Choice194,Zambia
QID217_Choice195,Zimbabwe
QID217_Choice196,Palestina
QID218_QuestionText,"In welke stad woont u? Waar van toepassing, vermeld ook de staat (bijv. New York, NY).<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID219_QuestionText,"In wat voor soort gebied woont u?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID219_Choice1,Randgemeente
QID219_Choice2,Stad
QID219_Choice3,Platteland
QID220_QuestionText,"Wat is uw leeftijdscategorie?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID220_Choice1,18-29
QID220_Choice2,30-39
QID220_Choice3,40-49
QID220_Choice4,50-59
QID220_Choice5,60-69
QID220_Choice6,80+
QID220_Choice8,70-79
QID221_QuestionText,"Wat is uw gender?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID221_Choice1,Vrouw
QID221_Choice2,Man
QID221_Choice3,Non-binair/Genderqueer/Gender non-conform
QID221_Choice4,Zeg ik liever niet
QID221_Choice5,Anders
QID222_QuestionText,"Komt uw gender overeen met het bij uw geboorte toegewezen gender?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID222_Choice1,Ja
QID222_Choice2,Nee
QID223_QuestionText,"Indien van toepassing, bent u zwanger?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID223_Choice1,Ja
QID223_Choice2,Nee
QID223_Choice3,N.v.t.
QID224_QuestionText,"Indien van toepassing, bent u 6 maanden of minder post-partum?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID224_Choice1,Ja
QID224_Choice2,Nee
QID224_Choice3,N.v.t.
QID451_QuestionText,"Indien van toepassing, heeft u een menstruatiecyclus?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID451_Choice1,Ja
QID451_Choice2,"Nee, postmenopauzaal"
QID451_Choice3,N.v.t.
QID451_Choice4,"Nee, andere reden"
QID225_QuestionText,"Welke van de volgende beschrijft het beste uw afkomst? Kies alle die van toepassing zijn.<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID225_Choice1,"Aziatisch, Zuid-Aziatisch, Zuidoost-Aziatisch (Chinees, Aziatisch Indisch, Vietnamees, Filipino...)"
QID225_Choice2,"Zwart (Afro-Amerikaans, Jamaicaans, Nigeriaans, Haïtiaans...)"
QID225_Choice3,"Wit (Duits, Italiaans, Engels, Pools, Frans...)"
QID225_Choice4,"Hispanic, Latino, of Spaanse origine (Mexicaans, Mexicaans-Amerikaans, Puerto Ricaans, Cubaans...)"
QID225_Choice5,"Inheemse volkeren (Navajo Nation, Blackfeet Tribe, Mayan, Inupiat...)"
QID225_Choice6,"Pacifische Eilander (Inheems Hawaaïans, Samoaans, Fujiaans, Chamorro...)"
QID225_Choice7,Zeg ik liever niet
QID225_Choice8,Anders
QID225_Choice9,"Midden-Oosters, Noord-Afrikaans (Libanees, Iraans, Egyptisch, Marrokaans...)"
QID226_QuestionText,"Wat was het jaarinkomen van uw huishouden vlak <strong>VOOR COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID226_Choice1,"$0 - $10,000 USD"
QID226_Choice2,"$10,001 - $40,000 USD"
QID226_Choice3,"$40,001 - $85,000 USD"
QID226_Choice4,"$85,001 - $150,000 USD"
QID226_Choice5,">$150,000 USD"
QID226_Choice6,Zeg ik liever niet
QID328_QuestionText,"Wat is het jaarinkomen van uw huishouden nu,<strong> NA COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID328_Choice1,"$0 - $10,000 USD"
QID328_Choice2,"$10,001 - $40,000 USD"
QID328_Choice3,"$40,001 - $85,000 USD"
QID328_Choice4,"$85,001 - $150,000 USD"
QID328_Choice5,">$150,000 USD"
QID328_Choice6,Zeg ik liever niet
QID448_QuestionText,"Wat was het jaarinkomen van uw huishouden vlak <strong>VOOR COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID448_Choice1,"$0 - $10,000 CAD"
QID448_Choice2,"$10,001 - $40,000 CAD"
QID448_Choice3,"$40,001 - $85,000 CAD"
QID448_Choice4,"$85,001 - $150,000 CAD"
QID448_Choice5,">$150,000 CAD"
QID448_Choice6,Zeg ik liever niet
QID449_QuestionText,"Wat is het jaarinkomen van uw huishouden nu,<strong> NA COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID449_Choice1,"$0 - $10,000 CAD"
QID449_Choice2,"$10,001 - $40,000 CAD"
QID449_Choice3,"$40,001 - $85,000 CAD"
QID449_Choice4,"$85,001 - $150,000 CAD"
QID449_Choice5,">$150,000 CAD"
QID449_Choice6,Zeg ik liever niet
QID408_QuestionText,"Wat was het jaarinkomen van uw huishouden vlak <strong>VOOR COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID408_Choice1,"£0 - £20,000 GBP"
QID408_Choice2,"£20,000 - £40,000 GBP"
QID408_Choice3,"£40,000 - £60,000 GBP"
QID408_Choice4,"£60,000 - £80,000 GBP"
QID408_Choice5,">£80,000 GBP"
QID408_Choice6,Zeg ik liever niet
QID409_QuestionText,"Wat is het jaarinkomen van uw huishouden nu,<strong> NA COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID409_Choice1,"£0 - £20,000 GBP"
QID409_Choice2,"£20,000 - £40,000 GBP"
QID409_Choice3,"£40,000 - £60,000 GBP"
QID409_Choice4,"£60,000 - £80,000 GBP"
QID409_Choice5,">£80,000 GBP"
QID409_Choice6,Zeg ik liever niet
QID445_QuestionText,"Wat was het jaarinkomen van uw huishouden vlak <strong>VOOR COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID445_Choice1,"€0 - €20,000 EUR"
QID445_Choice2,"€20,000 - €40,000 EUR"
QID445_Choice3,"€40,000 - €60,000 EUR"
QID445_Choice4,"€60,000 - €80,000 EUR"
QID445_Choice5,">€80,000 EUR"
QID445_Choice6,Zeg ik liever niet
QID447_QuestionText,"Wat is het jaarinkomen van uw huishouden nu,<strong> NA COVID-19</strong>?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID447_Choice1,"€0 - €20,000 EUR"
QID447_Choice2,"€20,000 - €40,000 EUR"
QID447_Choice3,"€40,000 - €60,000 EUR"
QID447_Choice4,"€60,000 - €80,000 EUR"
QID447_Choice5,">€80,000 EUR"
QID447_Choice6,Zeg ik liever niet
QID228_QuestionText,"Wat is uw hoogst afgeronde opleiding?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID228_Choice1,Geen schoolopleiding voltooid na de lagere school
QID228_Choice2,Middelbare school of MBO
QID228_Choice3,Bachelor-opleiding (HBO of WO)
QID228_Choice4,Master-opleiding of hoger (HBO of WO)
QID229_QuestionText,"Werkt u in de zorgsector?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID229_Choice1,Ja
QID229_Choice2,Nee
QID230_QuestionText,"Hoe heeft u deze enquête gevonden?<span style=""caret-color: rgb(0, 0, 0);"">&nbsp;</span><span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID230_Choice1,Body Politic Slack Group
QID230_Choice2,Long Haul COVID Fighters Group op Facebook
QID230_Choice3,Long Covid Support Group op Facebook
QID230_Choice4,Andere steungroep
QID230_Choice5,Facebook
QID230_Choice6,Twitter
QID230_Choice7,Instagram
QID230_Choice8,Gedeeld door kennis of familielid
QID230_Choice9,E-maillijst van patiëntenvereniging
QID230_Choice10,"Media (artikel, krant, blog)"
QID230_Choice11,Other
QID7_QuestionText,"Wanneer begonnen uw symptomen?&nbsp;<span style=""caret-color: rgb(0, 0, 0); color: rgb(231, 76, 60); font-size: 16px;"">*</span>"
QID7_Choice1,Maak een keuze:
QID7_Subquestion1_QuestionText,Maand
QID7_Subquestion1_Choice1,Maak een keuze:
QID7_Subquestion1_Answer1,januari
QID7_Subquestion1_Answer2,februari
QID7_Subquestion1_Answer3,maart
QID7_Subquestion1_Answer4,april
QID7_Subquestion1_Answer5,mei
QID7_Subquestion1_Answer6,juni
QID7_Subquestion1_Answer7,juli
QID7_Subquestion1_Answer8,augustus
QID7_Subquestion1_Answer9,september
QID7_Subquestion1_Answer10,oktober
QID7_Subquestion1_Answer11,november
QID7_Subquestion1_Answer12,december
QID7_Subquestion2_QuestionText,Dag
QID7_Subquestion2_Choice1,Maak een keuze:
QID7_Subquestion2_Answer1,1
QID7_Subquestion2_Answer2,2
QID7_Subquestion2_Answer3,3
QID7_Subquestion2_Answer4,4
QID7_Subquestion2_Answer5,5
QID7_Subquestion2_Answer6,6
QID7_Subquestion2_Answer7,7
QID7_Subquestion2_Answer8,8
QID7_Subquestion2_Answer9,9
QID7_Subquestion2_Answer10,10
QID7_Subquestion2_Answer11,11
QID7_Subquestion2_Answer12,12
QID7_Subquestion2_Answer13,13
QID7_Subquestion2_Answer14,14
QID7_Subquestion2_Answer15,15
QID7_Subquestion2_Answer16,16
QID7_Subquestion2_Answer17,17
QID7_Subquestion2_Answer18,18
QID7_Subquestion2_Answer19,19
QID7_Subquestion2_Answer20,20
QID7_Subquestion2_Answer21,21
QID7_Subquestion2_Answer22,22
QID7_Subquestion2_Answer23,23
QID7_Subquestion2_Answer24,24
QID7_Subquestion2_Answer25,25
QID7_Subquestion2_Answer26,26
QID7_Subquestion2_Answer27,27
QID7_Subquestion2_Answer28,28
QID7_Subquestion2_Answer29,29
QID7_Subquestion2_Answer30,30
QID7_Subquestion2_Answer31,31
QID7_Subquestion3_QuestionText,Jaar
QID7_Subquestion3_Choice1,Maak een keuze:
QID7_Subquestion3_Answer1,1900
QID7_Subquestion3_Answer2,1901
QID7_Subquestion3_Answer3,1902
QID7_Subquestion3_Answer4,1903
QID7_Subquestion3_Answer5,1904
QID7_Subquestion3_Answer6,1905
QID7_Subquestion3_Answer7,1906
QID7_Subquestion3_Answer8,1907
QID7_Subquestion3_Answer9,1908
QID7_Subquestion3_Answer10,1909
QID7_Subquestion3_Answer11,1910
QID7_Subquestion3_Answer12,1911
QID7_Subquestion3_Answer13,1912
QID7_Subquestion3_Answer14,1913
QID7_Subquestion3_Answer15,1914
QID7_Subquestion3_Answer16,1915
QID7_Subquestion3_Answer17,1916
QID7_Subquestion3_Answer18,1917
QID7_Subquestion3_Answer19,1918
QID7_Subquestion3_Answer20,1919
QID7_Subquestion3_Answer21,1920
QID7_Subquestion3_Answer22,1921
QID7_Subquestion3_Answer23,1922
QID7_Subquestion3_Answer24,1923
QID7_Subquestion3_Answer25,1924
QID7_Subquestion3_Answer26,1925
QID7_Subquestion3_Answer27,1926
QID7_Subquestion3_Answer28,1927
QID7_Subquestion3_Answer29,1928
QID7_Subquestion3_Answer30,1929
QID7_Subquestion3_Answer31,1930
QID7_Subquestion3_Answer32,1931
QID7_Subquestion3_Answer33,1932
QID7_Subquestion3_Answer34,1933
QID7_Subquestion3_Answer35,1934
QID7_Subquestion3_Answer36,1935
QID7_Subquestion3_Answer37,1936
QID7_Subquestion3_Answer38,1937
QID7_Subquestion3_Answer39,1938
QID7_Subquestion3_Answer40,1939
QID7_Subquestion3_Answer41,1940
QID7_Subquestion3_Answer42,1941
QID7_Subquestion3_Answer43,1942
QID7_Subquestion3_Answer44,1943
QID7_Subquestion3_Answer45,1944
QID7_Subquestion3_Answer46,1945
QID7_Subquestion3_Answer47,1946
QID7_Subquestion3_Answer48,1947
QID7_Subquestion3_Answer49,1948
QID7_Subquestion3_Answer50,1949
QID7_Subquestion3_Answer51,1950
QID7_Subquestion3_Answer52,1951
QID7_Subquestion3_Answer53,1952
QID7_Subquestion3_Answer54,1953
QID7_Subquestion3_Answer55,1954
QID7_Subquestion3_Answer56,1955
QID7_Subquestion3_Answer57,1956
QID7_Subquestion3_Answer58,1957
QID7_Subquestion3_Answer59,1958
QID7_Subquestion3_Answer60,1959
QID7_Subquestion3_Answer61,1960
QID7_Subquestion3_Answer62,1961
QID7_Subquestion3_Answer63,1962
QID7_Subquestion3_Answer64,1963
QID7_Subquestion3_Answer65,1964
QID7_Subquestion3_Answer66,1965
QID7_Subquestion3_Answer67,1966
QID7_Subquestion3_Answer68,1967
QID7_Subquestion3_Answer69,1968
QID7_Subquestion3_Answer70,1969
QID7_Subquestion3_Answer71,1970
QID7_Subquestion3_Answer72,1971
QID7_Subquestion3_Answer73,1972
QID7_Subquestion3_Answer74,1973
QID7_Subquestion3_Answer75,1974
QID7_Subquestion3_Answer76,1975
QID7_Subquestion3_Answer77,1976
QID7_Subquestion3_Answer78,1977
QID7_Subquestion3_Answer79,1978
QID7_Subquestion3_Answer80,1979
QID7_Subquestion3_Answer81,1980
QID7_Subquestion3_Answer82,1981
QID7_Subquestion3_Answer83,1982
QID7_Subquestion3_Answer84,1983
QID7_Subquestion3_Answer85,1984
QID7_Subquestion3_Answer86,1985
QID7_Subquestion3_Answer87,1986
QID7_Subquestion3_Answer88,1987
QID7_Subquestion3_Answer89,1988
QID7_Subquestion3_Answer90,1989
QID7_Subquestion3_Answer91,1990
QID7_Subquestion3_Answer92,1991
QID7_Subquestion3_Answer93,1992
QID7_Subquestion3_Answer94,1993
QID7_Subquestion3_Answer95,1994
QID7_Subquestion3_Answer96,1995
QID7_Subquestion3_Answer97,1996
QID7_Subquestion3_Answer98,1997
QID7_Subquestion3_Answer99,1998
QID7_Subquestion3_Answer100,1999
QID7_Subquestion3_Answer101,2000
QID7_Subquestion3_Answer102,2001
QID7_Subquestion3_Answer103,2002
QID7_Subquestion3_Answer104,2003
QID7_Subquestion3_Answer105,2004
QID7_Subquestion3_Answer106,2005
QID7_Subquestion3_Answer107,2006
QID7_Subquestion3_Answer108,2007
QID7_Subquestion3_Answer109,2008
QID7_Subquestion3_Answer110,2009
QID7_Subquestion3_Answer111,2010
QID7_Subquestion3_Answer112,2011
QID7_Subquestion3_Answer113,2012
QID7_Subquestion3_Answer114,2013
QID7_Subquestion3_Answer115,2014
QID7_Subquestion3_Answer116,2015
QID7_Subquestion3_Answer117,2016
QID7_Subquestion3_Answer118,2017
QID7_Subquestion3_Answer119,2018
QID7_Subquestion3_Answer120,2019
QID7_Subquestion3_Answer121,2020
QID7_Subquestion3_Answer122,2021
QID7_Subquestion3_Answer123,2022
QID7_Subquestion3_Answer124,2023
QID7_Subquestion3_Answer125,2024
QID7_Subquestion3_Answer126,2025
QID7_Subquestion3_Answer127,2026
QID7_Subquestion3_Answer128,2027
QID7_Subquestion3_Answer129,2028
QID7_Subquestion3_Answer130,2029
QID7_Subquestion3_Answer131,2030
QID7_Subquestion3_Answer132,2031
QID7_Subquestion3_Answer133,2032
QID7_Subquestion3_Answer134,2033
QID7_Subquestion3_Answer135,2034
QID7_Subquestion3_Answer136,2035
QID7_Subquestion3_Answer137,2036
QID7_Subquestion3_Answer138,2037
QID7_Subquestion3_Answer139,2038
QID7_Subquestion3_Answer140,2039
QID7_Subquestion3_Answer141,2040
QID7_Subquestion3_Answer142,2041
QID7_Subquestion3_Answer143,2042
QID7_Subquestion3_Answer144,2043
QID7_Subquestion3_Answer145,2044
QID7_Subquestion3_Answer146,2045
QID7_Subquestion3_Answer147,2046
QID7_Subquestion3_Answer148,2047
QID7_Subquestion3_Answer149,2048
QID7_Subquestion3_Answer150,2049
QID9_QuestionText,"Heeft u nog steeds symptomen?&nbsp;<span style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0); font-family: -webkit-standard; font-size: 16px;""><span style=""color: rgb(231, 76, 60);"">*</span></span>"
QID9_Choice1,Ja
QID9_Choice2,Nee
QID10_QuestionText,"Hoeveel dagen in totaal had u symptomen?&nbsp;<span style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0); font-family: -webkit-standard; font-size: 16px;""><span style=""color: rgb(231, 76, 60);"">*</span></span>"
QID13_QuestionText,Had u één of meerdere van deze <strong>bestaande</strong> aandoeningen/diagnoses of ervoer u één of meerdere van deze voor COVID?
QID13_Choice2,Diabetes type 1
QID13_Choice3,Diabetes type 2
QID13_Choice6,Mast Cell Activation Syndrome (MCAS)
QID13_Choice8,Coeliakie (Celiac Disease)
QID13_Choice9,Refluxziekte
QID13_Choice10,Kanker (alle soorten)
QID13_Choice11,Seizoensgebonden allergieën
QID13_Choice12,Voedselallergiën
QID13_Choice13,Chemische allergieën
QID13_Choice14,Andere allergieën </br>
QID13_Choice15,Vitamine D-tekort
QID13_Choice16,HIV
QID13_Choice17,Slapeloosheid
